feature,coef,abs_coef
Ciclo_Maturacao_Cultivar_SUPER_TARDIO,-454.5278152954283,454.5278152954283
Preparo_Colheita_***,298.46615893268284,298.46615893268284
Preparo_Colheita_******,-298.46615893268245,298.46615893268245
Regiao_Propriedade_NORDESTE,266.8913218797002,266.8913218797002
Ciclo_Maturacao_Cultivar_SUPER_PRECOCE,251.99292184904394,251.99292184904394
Ciclo_Maturacao_Cultivar_PRECOCE,189.8376201010804,189.8376201010804
Regiao_Propriedade_NORTE,-167.17507397893877,167.17507397893877
Regiao_Propriedade_CENTRO-OESTE,-98.04091591005536,98.04091591005536
Ciclo_Maturacao_Cultivar_MEDIA,87.87017862614285,87.87017862614285
Ciclo_Maturacao_Cultivar_MEDIO,-68.06341598665644,68.06341598665644
Populacao_Plantas_Calculada_ha,-43.24894634116451,43.24894634116451
Custo_Adubacao_Corretivos,25.467924741830256,25.467924741830256
Custo_Defensivos,24.669059664160415,24.669059664160415
Custo_Mao_de_Obra,21.189823824304515,21.189823824304515
Longitude,-15.281132752942806,15.281132752942806
Custo_Mecanizacao,-7.456957101438916,7.456957101438916
Ciclo_Maturacao_Cultivar_TARDIO,-7.109489294173146,7.109489294173146
Perda_Colheita_sc_ha,6.709074397348231,6.709074397348231
Regiao_Propriedade_SUL,-4.962361549018104,4.962361549018104
Latitude,-4.063007075292329,4.063007075292329
Regiao_Propriedade_SUDESTE,3.287029558315861,3.287029558315861
