,frac_missing
Titulo,0.9832769969756271
Data_Colheita_Auditoria,0.8569649528553638
Procedencia_Semente,0.06422344778509162
fator_03,0.050169009073118664
fator_02,0.0460772104607721
fator_01,0.04323074186087885
Produto_Utilizado_Dessecacao,0.04180750756093222
Estadio_Dessecacao,0.04180750756093222
Realizou_Dessecacao,0.04180750756093222
Selo_INMETRO,0.005870841487279843
Ciclo_Maturacao_Cultivar,0.0016011385874399574
Coletou_Solo,0.0014232342999466287
Coletou_Graos,0.0012453300124533001
Placa_Caminhao,0.0005337128624799857
Municipal,0.0001779042874933286
Horario_Romaneio_Entrada_Armazem,0.0001779042874933286
Nome_Armazem,0.0001779042874933286
Perda_Colheita_sc_ha,0.0001779042874933286
Patrocinador,0.0001779042874933286
Registro_CAR_Propriedade,0.0001779042874933286
Horario_Romaneio_Saida_Armazem,0.0001779042874933286
Preparo_Colheita,0.0
Balanca,0.0
Peso_Mil_Graos_Afericao_01_kg,0.0
Avariados_Total_kg,0.0
Esverdeados_kg,0.0
Nome_Condutor_Caminhao,0.0
Quebrados_kg,0.0
Impureza_kg,0.0
Fabricante_e_Modelo_Balanca,0.0
Peso_Mil_Graos_Afericao_02_kg,0.0
Umidade_kg,0.0
Certificado_Calibracao,0.0
Tara_Caminhao_kg,0.0
Peso_Bruto_kg,0.0
UF_Armazem,0.0
Distancia_Lavoura_Armazem_km,0.0
Pesagem_Classificacao,0.0
Medicao_Area_Auditada_02_ha,0.0
Peso_Mil_Graos_Afericao_03_kg,0.0
Custo_Mao_de_Obra,0.0
Status_Classificacao,0.0
Classificado,0.0
Auditoria_Realizada,0.0
Situacao_Inscricao,0.0
Custo_Total_sc,0.0
Custo_Total_ha,0.0
Custo_Semente,0.0
Custo_Beneficiamentos,0.0
Custo_Defensivos,0.0
Custo_Adubacao_Corretivos,0.0
Custo_Mecanizacao,0.0
Custos_Area_Audit,0.0
Peso_Mil_Graos_Afericao_Media_kg,0.0
Produtividade_Final_sc_ha,0.0
Produtividade_Final_kg_ha,0.0
PLCDIU,0.0
PLCDI,0.0
PLSD,0.0
Area_Media_Auditada,0.0
Resultados_Finais,0.0
Materia_Seca_kg_ha,0.0
Media_Medicao_Area_Auditada_ha,0.0
Medicao_Area_Auditada_03_ha,0.0
Medicao_Area_Auditada_01_ha,0.0
Cidade_Armazem,0.0
Inscricao,0.0
Armazem,0.0
Altitude,0.0
Latitude,0.0
Codigo_Auditoria,0.0
Auditoria,0.0
COLHEITA_CUSTO,0.0
Area_Cultivada_Soja_Propriedade,0.0
Area_Agricultavel_Propriedade,0.0
Total_Area_Cultivada_Soja_Propriedade,0.0
Tamanho_Propriedade,0.0
Regiao_Propriedade,0.0
UF_Propriedade,0.0
Cidade_Propriedade,0.0
Gleba_Propriedade,0.0
Nome_Propriedade,0.0
Id_Propriedade,0.0
Nome_Consultor,0.0
Id_Consultor,0.0
Nome_Produtor,0.0
Id_Produtor,0.0
Estadual,0.0
Regional,0.0
Nacional,0.0
Categoria,0.0
Safra,0.0
Data_Ultima_Edicao,0.0
Data_Inscricao,0.0
Longitude,0.0
Produtividade_Media_Retrasada_kg_ha,0.0
peso_fator_03,0.0
Produtividade_Media_Passada_kg_ha,0.0
peso_fator_02,0.0
BD_Origem,0.0
peso_fator_01,0.0
Fatores_Importancia_na_Escolha_do_Cultivar,0.0
Sementes,0.0
Media_Insercao_Primeira_Vagem,0.0
Insercao_Primeira_Vagem_Medicao_03,0.0
Insercao_Primeira_Vagem_Medicao_02,0.0
Insercao_Primeira_Vagem_Medicao_01,0.0
Media_Altura_Plantas,0.0
Altura_Plantas_Medicao_03,0.0
Altura_Plantas_Medicao_02,0.0
Altura_Plantas_Medicao_01,0.0
Media_Stand_Plantas,0.0
Stand_Plantas_Medicao_03,0.0
Stand_Plantas_Medicao_02,0.0
Stand_Plantas_Medicao_01,0.0
Graos_por_Vagem_04,0.0
Graos_por_Vagem_03,0.0
Graos_por_Vagem_02,0.0
Graos_por_Vagem_01,0.0
Medicoes,0.0
Media_Vagens_Planta,0.0
Populacao_Plantas_Calculada_ha,0.0
Produtividade_Media_Atual_kg_ha,0.0
Produtividade_Final_sc_ha.1,0.0
